book,chapter,verse,genre,word_node,word,lex,pos,word_hebrew,lemma_hebrew
Genesis,37,10,Narrative,20368,בֹ֣וא ,BW>[,verb,בֹ֣וא,בֹוא
Genesis,37,10,Narrative,20369,נָבֹ֗וא ,BW>[,verb,נָבֹ֗וא,בֹוא
Genesis,37,10,Narrative,20370,אֲנִי֙ ,>NJ,prps,אֲנִי֙,אֲנִי
Genesis,37,10,Narrative,20371,וְ,W,conj,וְ,וְ
Genesis,37,10,Narrative,20372,אִמְּךָ֣ ,>M/,subs,אִמְּךָ֣,אִםּ
Genesis,37,10,Narrative,20373,וְ,W,conj,וְ,וְ
Genesis,37,10,Narrative,20374,אַחֶ֔יךָ ,>X/,subs,אַחֶ֔יךָ,אַח
Genesis,37,10,Narrative,20375,לְ,L,prep,לְ,לְ
Genesis,37,10,Narrative,20376,הִשְׁתַּחֲוֹ֥ת ,XWH[,verb,הִשְׁתַּחֲוֹ֥ת,חֲו
Genesis,37,10,Narrative,20377,לְךָ֖ ,L,prep,לְךָ֖,ל
Genesis,37,10,Narrative,20378,אָֽרְצָה׃ ,>RY/,subs,אָֽרְצָה,אָרְץ
Genesis,37,11,Narrative,20379,וַ,W,conj,וַ,וַ
Genesis,37,11,Narrative,20380,יְקַנְאוּ־,QN>[,verb,יְקַנְאוּ,קַנְא
Genesis,37,11,Narrative,20381,בֹ֖ו ,B,prep,בֹ֖ו,ב
Genesis,37,11,Narrative,20382,אֶחָ֑יו ,>X/,subs,אֶחָ֑יו,אֶח
Genesis,37,11,Narrative,20383,וְ,W,conj,וְ,וְ
Genesis,37,11,Narrative,20384,אָבִ֖יו ,>B/,subs,אָבִ֖יו,אָב
Genesis,37,11,Narrative,20385,שָׁמַ֥ר ,CMR[,verb,שָׁמַ֥ר,שָׁמַר
Genesis,37,11,Narrative,20386,אֶת־,>T,prep,אֶת,אֶת
Genesis,37,11,Narrative,20387,הַ,H,art,הַ,הַ
Genesis,37,11,Narrative,20388,דָּבָֽר׃ ,DBR/,subs,דָּבָֽר,דָּבָר
Genesis,37,12,Narrative,20389,וַ,W,conj,וַ,וַ
Genesis,37,12,Narrative,20390,יֵּלְכ֖וּ ,HLK[,verb,יֵּלְכ֖וּ,לְך
Genesis,37,12,Narrative,20391,אֶחָ֑יו ,>X/,subs,אֶחָ֑יו,אֶח
Genesis,37,12,Narrative,20392,לִ,L,prep,לִ,לִ
Genesis,37,12,Narrative,20393,רְעֹ֛ות ,R<H[,verb,רְעֹ֛ות,רְע
Genesis,37,12,Narrative,20394,אֶׄתׄ־,>T,prep,אֶׄתׄ,אֶת
Genesis,37,12,Narrative,20395,צֹ֥אן ,Y>N/,subs,צֹ֥אן,צֹאן
Genesis,37,12,Narrative,20396,אֲבִיהֶ֖ם ,>B/,subs,אֲבִיהֶ֖ם,אֲב
Genesis,37,12,Narrative,20397,בִּ,B,prep,בִּ,בִּ
Genesis,37,12,Narrative,20398,שְׁכֶֽם׃ ,CKM=/,nmpr,שְׁכֶֽם,שְׁכֶם
Genesis,37,13,Narrative,20399,וַ,W,conj,וַ,וַ
Genesis,37,13,Narrative,20400,יֹּ֨אמֶר ,>MR[,verb,יֹּ֨אמֶר,אמֶר
Genesis,37,13,Narrative,20401,יִשְׂרָאֵ֜ל ,JFR>L/,nmpr,יִשְׂרָאֵ֜ל,יִשְׂרָאֵל
Genesis,37,13,Narrative,20402,אֶל־,>L,prep,אֶל,אֶל
Genesis,37,13,Narrative,20403,יֹוסֵ֗ף ,JWSP/,nmpr,יֹוסֵ֗ף,יֹוסֵף
Genesis,37,13,Narrative,20404,הֲ,H=,inrg,הֲ,הֲ
Genesis,37,13,Narrative,20405,לֹ֤וא ,L>,nega,לֹ֤וא,לֹוא
Genesis,37,13,Narrative,20406,אַחֶ֨יךָ֙ ,>X/,subs,אַחֶ֨יךָ֙,אַח
Genesis,37,13,Narrative,20407,רֹעִ֣ים ,R<H[,verb,רֹעִ֣ים,רֹע
Genesis,37,13,Narrative,20408,בִּ,B,prep,בִּ,בִּ
Genesis,37,13,Narrative,20409,שְׁכֶ֔ם ,CKM=/,nmpr,שְׁכֶ֔ם,שְׁכֶם
Genesis,37,13,Narrative,20410,לְכָ֖ה ,HLK[,verb,לְכָ֖ה,לְך
Genesis,37,13,Narrative,20411,וְ,W,conj,וְ,וְ
Genesis,37,13,Narrative,20412,אֶשְׁלָחֲךָ֣ ,CLX[,verb,אֶשְׁלָחֲךָ֣,שְׁלָחֲ
Genesis,37,13,Narrative,20413,אֲלֵיהֶ֑ם ,>L,prep,אֲלֵיהֶ֑ם,אֲלֵי
Genesis,37,13,Narrative,20414,וַ,W,conj,וַ,וַ
Genesis,37,13,Narrative,20415,יֹּ֥אמֶר ,>MR[,verb,יֹּ֥אמֶר,אמֶר
Genesis,37,13,Narrative,20416,לֹ֖ו ,L,prep,לֹ֖ו,ל
Genesis,37,13,Narrative,20417,הִנֵּֽנִי׃ ,HNH,intj,הִנֵּֽנִי,הִןּ
Genesis,37,14,Narrative,20418,וַ,W,conj,וַ,וַ
Genesis,37,14,Narrative,20419,יֹּ֣אמֶר ,>MR[,verb,יֹּ֣אמֶר,אמֶר
Genesis,37,14,Narrative,20420,לֹ֗ו ,L,prep,לֹ֗ו,ל
Genesis,37,14,Narrative,20421,לֶךְ־,HLK[,verb,לֶךְ,לֶךְ
Genesis,37,14,Narrative,20422,נָ֨א ,N>,intj,נָ֨א,נָא
Genesis,37,14,Narrative,20423,רְאֵ֜ה ,R>H[,verb,רְאֵ֜ה,רְאֵה
Genesis,37,14,Narrative,20424,אֶת־,>T,prep,אֶת,אֶת
Genesis,37,14,Narrative,20425,שְׁלֹ֤ום ,CLWM/,subs,שְׁלֹ֤ום,שְׁלֹום
Genesis,37,14,Narrative,20426,אַחֶ֨יךָ֙ ,>X/,subs,אַחֶ֨יךָ֙,אַח
Genesis,37,14,Narrative,20427,וְ,W,conj,וְ,וְ
Genesis,37,14,Narrative,20428,אֶת־,>T,prep,אֶת,אֶת
Genesis,37,14,Narrative,20429,שְׁלֹ֣ום ,CLWM/,subs,שְׁלֹ֣ום,שְׁלֹום
Genesis,37,14,Narrative,20430,הַ,H,art,הַ,הַ
Genesis,37,14,Narrative,20431,צֹּ֔אן ,Y>N/,subs,צֹּ֔אן,צֹּאן
Genesis,37,14,Narrative,20432,וַ,W,conj,וַ,וַ
Genesis,37,14,Narrative,20433,הֲשִׁבֵ֖נִי ,CWB[,verb,הֲשִׁבֵ֖נִי,שִׁב
Genesis,37,14,Narrative,20434,דָּבָ֑ר ,DBR/,subs,דָּבָ֑ר,דָּבָר
Genesis,37,14,Narrative,20435,וַ,W,conj,וַ,וַ
Genesis,37,14,Narrative,20436,יִּשְׁלָחֵ֨הוּ֙ ,CLX[,verb,יִּשְׁלָחֵ֨הוּ֙,שְׁלָח
Genesis,37,14,Narrative,20437,מֵ,MN,prep,מֵ,מֵ
Genesis,37,14,Narrative,20438,עֵ֣מֶק ,<MQ/,subs,עֵ֣מֶק,עֵמֶק
